Obs,Genot,Madurez,Parental,Cruza,Filial,DFr,RT,PFC,SST,AC,IM,Ph
1,UN40A,1,1,P,P,2.19,0.43,6.31,14.73,1.2,12.41,4.13
2,UN43A,2,2,P,P,2.06,0.59,6.22,15,1.17,12.94,4.09
3,UN45A,3,3,P,P,2.01,0.48,5.36,15.25,1.2,12.74,4.24
4,UN26A,4,4,P,P,2.05,0.34,4.79,13.67,1.04,14.02,3.92
5,UN49A,5,5,P,P,2.13,0.33,5.42,14.52,1.41,11.51,4.24
6,UN24B,6,6,P,P,2.13,0.39,5.54,14.62,1.12,13.16,4.55
7,UN14B,7,7,P,P,2,0.35,5.14,14.74,1.07,13.89,4.44
8,UN03B,8,8,P,P,2.26,0.62,6.62,14.97,1.3,11.65,4.18
9,UN35B,9,9,P,P,2.16,0.52,5.89,15.27,1.54,10.79,4.12
10,UN48B,10,10,P,P,2.04,0.31,5.43,14.62,0.96,15.54,4.47
11,1*2,1,2,d,F1,2.12,0.44,5.59,14.68,1.19,12.58,4
12,2*1,2,1,r,F1,2.13,0.47,5.69,14.8,0.97,15.39,4.34
13,1*3,1,3,d,F1,2.08,0.36,5.78,15.16,1.01,15.19,4.42
14,3*1,3,1,r,F1,2.12,0.44,5.5,15.38,1.2,12.88,4.42
15,1*4,1,4,d,F1,2.02,0.26,4.94,14.15,1.01,14.13,4.45
16,4*1,4,1,r,F1,2.2,0.48,6.17,14.34,1.16,12.43,4.29
17,1*5,1,5,d,F1,1.97,0.29,5.17,14.67,0.94,15.92,4.39
18,5*1,5,1,r,F1,2.08,0.36,4.8,14.78,1.1,13.44,4.47
19,1*6,1,6,d,F1,2.12,0.36,5.91,14.8,1.1,13.53,4.5
20,6*1,6,1,r,F1,2.08,0.55,5.54,14.74,0.95,16.63,4.41
21,1*7,1,7,d,F1,1.95,0.44,4.94,14.92,1.07,14.09,4.23
22,7*1,7,1,r,F1,1.98,0.27,5.38,14.35,1.01,14.31,4.17
23,1*8,1,8,d,F1,2.12,0.47,5.59,15.08,1.11,13.72,4.32
24,8*1,8,1,r,F1,2.16,0.61,6.11,15.02,1.13,13.63,4.3
25,1*9,1,9,d,F1,2.09,0.4,5.46,15.01,1.28,11.84,4.18
26,9*1,9,1,r,F1,2,0.3,5.02,14.71,1.26,12.64,4.36
27,1*10,1,1,d,F1,1.97,0.33,4.98,15.12,1.06,14.41,4.33
28,10*1,10,1,r,F1,2.09,0.3,5.18,14.07,1.08,13.24,4.54
29,2*3,2,3,d,F1,2.1,0.27,5.32,15.16,1.07,14.49,4.33
30,3*2,3,2,r,F1,2.27,0.42,6.92,14.47,1.12,12.97,4.27
31,2*4,2,4,d,F1,21.3,0.26,5.3,15.02,1.2,12.67,4
32,4*2,4,2,r,F1,2.04,0.44,5.31,14.83,1.12,13.44,4.35
33,2*5,2,5,d,F1,2.12,0.47,5.63,14.58,1.09,13.46,4.25
34,5*2,5,2,r,F1,2.13,0.49,5.87,15.05,1.18,12.95,4.12
35,2*6,2,6,d,F1,2.08,0.41,5.56,14.33,1,14.89,4.13
36,6*2,6,2,r,F1,2.08,0.52,5.52,14.86,1.19,12.5,4.46
37,2*7,2,7,d,F1,1.99,0.34,5.69,14.96,1.19,12.96,4.32
38,7*2,7,2,r,F1,2.14,0.52,7.09,14.64,1.12,13.17,4.15
39,2*8,2,8,d,F1,2.12,0.38,5.54,15.34,1.39,11.32,4.13
40,8*2,8,2,r,F1,2.1,0.37,6.09,15.73,1.35,11.81,4.1
41,2*9,2,9,d,F1,2.21,0.51,5.99,14.82,1.13,13.3,4.35
42,9*2,9,2,r,F1,2.05,0.47,5.85,15.27,1.07,14.75,4.31
43,2*10,2,1,d,F1,2.15,0.49,5.74,14.9,1.18,12.71,4.23
44,10*2,10,2,r,F1,2.04,0.33,5.55,14.13,1.03,13.81,4.21
45,3*4,3,4,d,F1,2.13,0.53,5.53,14.85,1.11,13.38,4.13
46,4*3,4,3,r,F1,2.12,0.57,5.84,15.17,1.32,11.55,4.33
47,3*5,3,5,d,F1,2.05,0.54,5.54,14.92,1.07,13.95,4.45
48,5*3,5,3,r,F1,2.03,0.42,5.43,14.96,1.08,14.01,4.28
49,3*6,3,6,d,F1,2.04,0.31,5.66,14.76,1.1,13.55,4.28
50,6*3,6,3,r,F1,1.95,0.36,4.52,14.33,0.91,16.55,4.57
51,3*7,3,7,d,F1,2.11,0.34,5.18,14.91,0.98,16.34,4.27
52,7*3,7,3,r,F1,2.19,0.58,5.78,14.47,1.1,13.14,4.49
53,3*8,3,8,d,F1,2.08,0.92,5.51,15.76,1.18,13.43,4.31
54,8*3,8,3,r,F1,2.19,0.75,6.68,14.78,1.23,12.09,4.35
55,3*9,3,9,d,F1,2.13,0.5,6.23,15.14,1.09,14.02,4.37
56,9*3,9,3,r,F1,2.14,0.52,5.75,15.02,1.23,12.47,4.3
57,3*10,3,1,d,F1,2.2,0.4,6.25,14.93,1.03,14.52,4.44
58,10*3,10,3,r,F1,1.99,0.45,5,15.13,1.08,14.32,4.29
59,4*5,4,5,d,F1,2.08,0.38,5.82,14.71,0.99,15.03,4.42
60,5*4,5,4,r,F1,2.27,0.51,6.1,14.68,1.09,13.52,4.25
61,4*6,4,6,d,F1,2,0.34,5.05,14.43,0.94,15.53,4.31
62,6*4,6,4,r,F1,1.96,0.48,5.21,14.9,1.1,13.93,4.41
63,4*7,4,7,d,F1,2.08,0.44,6.18,14.91,1.17,12.9,4.41
64,7*4,7,4,r,F1,2.09,0.43,5.68,14.49,1.16,12.51,4.27
65,4*8,4,8,d,F1,2.08,0.55,5.64,15.05,1.2,12.69,4.28
66,8*4,8,4,r,F1,2.18,0.41,6.08,14.94,1.23,12.3,4.1
67,4*9,4,9,d,F1,2.14,0.25,5.7,14.61,1.09,13.52,4.48
68,9*4,9,4,r,F1,2.14,0.47,5.82,15.09,1.14,13.56,4.25
69,4*10,4,1,d,F1,2.01,0.42,4.93,15.08,1.24,12.57,4.19
70,10*4,10,4,r,F1,1.99,0.46,5.1,15.22,1.04,14.87,4.59
71,5*6,5,6,d,F1,2.18,0.35,6.12,14.95,1.15,13.2,4.29
72,6*5,6,5,r,F1,1.87,0.32,4.89,14.97,1.2,12.68,4.2
73,5*7,5,7,d,F1,2.08,0.38,5.26,15.46,1.16,13.94,4.11
74,7*5,7,5,r,F1,2.1,0.4,5.44,14.98,1.08,14.42,4.45
75,5*8,5,8,d,F1,2.08,0.42,5.36,15.69,1.22,12.97,4.36
76,8*5,8,5,r,F1,2.16,0.61,5.81,15.33,1.29,12.03,4.06
77,5*9,5,9,d,F1,1.99,0.29,4.69,14.91,1.17,12.9,3.9
78,9*5,9,5,r,F1,2.23,0.51,6.56,14.81,1.15,13.01,3.98
79,5*10,5,1,d,F1,2.05,0.49,5.61,15.21,1.25,12.99,4.22
80,10*5,10,5,r,F1,2.12,0.36,5.64,14.81,0.99,15.12,4.39
81,6*7,6,7,d,F1,2.11,0.45,5.75,14.66,1.18,12.64,4.48
82,7*6,7,6,r,F1,2.09,0.46,5.91,15.01,1.26,11.91,4.4
83,6*8,6,8,d,F1,2.04,0.5,5.53,15.56,1.26,12.41,4.2
84,8*6,8,6,r,F1,2.04,0.36,5.65,15.59,1.15,14.05,4.19
85,6*9,6,9,d,F1,2.21,0.42,6.61,13.92,0.97,14.32,4.26
86,9*6,9,6,r,F1,2.15,0.33,5.66,14.7,1.13,13.01,4.18
87,6*10,6,1,d,F1,2.01,0.49,5.67,14.59,1.07,13.73,4.12
88,10*6,10,6,r,F1,2.27,0.36,6.8,14.34,1.16,12.47,4.15
89,7*8,7,8,d,F1,2.29,0.58,6.98,15.25,1.22,12.82,4.18
90,8*7,8,7,r,F1,1.92,0.61,6.27,15.54,1.32,11.99,4.28
91,7*9,7,9,d,F1,2.18,0.35,5.83,14.81,1.17,12.64,4.14
92,9*7,9,7,r,F1,2.15,0.48,6.05,14.59,1.16,12.85,4.21
93,7*10,7,1,d,F1,2.16,0.37,5.5,15.05,1.01,15.58,4.2
94,10*7,10,7,r,F1,2.12,0.44,6.36,14.41,1.17,12.62,4.22
95,8*9,8,9,d,F1,2.13,0.32,5.6,16.17,1.23,13.28,4.15
96,9*8,9,8,r,F1,2.1,0.5,5.93,15.3,1.2,12.91,4.16
97,8*10,8,1,d,F1,2.17,0.34,5.67,15.2,1.27,12.02,4.11
98,10*8,10,8,r,F1,2.13,0.6,5.2,15.55,1.29,12.18,4.17
99,9*10,9,1,d,F1,1.97,0.36,5.75,14.85,1.03,14.62,4.22
100,10*9,10,9,r,F1,2.12,0.42,5.3,16.24,1.1,15.3,4.34
